time,probe_a,probe_b
1.4759979e+00, 7.2955996e-01, 6.3317996e-01
1.4800034e+00, 5.5754000e-01, 6.6978002e-01
1.4840012e+00, 5.4167998e-01, 7.9666001e-01
1.4879990e+00, 2.0862000e-01, 6.3562000e-01
1.4919968e+00, 1.7690000e-01, 5.0019997e-01
1.4960022e+00, 4.8799999e-02, 3.2696000e-01
1.5000000e+00,-9.7599998e-02, 2.8669998e-01
1.5039978e+00,-2.1472000e-01, 7.6859996e-02
1.5080032e+00,-4.0625998e-01,-1.3298000e-01
1.5120010e+00,-5.7584000e-01,-2.4521999e-01
1.5159988e+00,-8.1251997e-01,-4.2699999e-01
1.5199966e+00,-7.4541998e-01,-5.8315998e-01
1.5240021e+00,-7.6616001e-01,-5.5265999e-01
1.5279999e+00,-6.6855997e-01,-6.9418001e-01
1.5319977e+00,-5.0629997e-01,-6.6855997e-01
1.5360031e+00,-2.5132000e-01,-7.6493996e-01
1.5400009e+00,-1.4640000e-02,-4.7946000e-01
1.5439987e+00, 4.6237999e-01,-2.9280001e-01
1.5479965e+00, 6.6733998e-01, 3.0499998e-02
1.5520020e+00, 7.1003997e-01, 4.1479999e-01
1.5559998e+00, 7.5151998e-01, 7.4176002e-01
1.5599976e+00, 8.0153996e-01, 8.0153996e-01
1.5640030e+00, 6.6611999e-01, 6.8685997e-01
1.5680008e+00, 3.1597999e-01, 5.7339996e-01
1.5719986e+00, 1.7568000e-01, 4.5506001e-01
1.5759964e+00, 2.7083999e-01, 3.7454000e-01
1.5800018e+00, 1.7080000e-02, 3.5014001e-01
1.5839996e+00,-5.1239997e-02, 2.7693999e-01
1.5879974e+00,-1.9397999e-01, 1.4151999e-01
1.5920029e+00,-3.8795999e-01,-2.0739999e-02
1.5960007e+00,-5.1727998e-01,-2.3911999e-01
1.5999985e+00,-6.0877997e-01,-3.5990000e-01
1.6039963e+00,-6.7465997e-01,-5.7949996e-01
1.6080017e+00,-7.6006001e-01,-4.6603999e-01
1.6119995e+00,-6.3073999e-01,-5.5632001e-01
1.6159973e+00,-5.3557998e-01,-7.4663997e-01
1.6200027e+00,-4.0381998e-01,-5.9292001e-01
1.6240005e+00,-2.5986001e-01,-5.9780002e-01
1.6279984e+00, 1.9520000e-01,-5.0996000e-01
1.6320038e+00, 6.2463999e-01,-1.6470000e-01
1.6360016e+00, 7.0150000e-01, 2.3058000e-01
1.6399994e+00, 6.6245997e-01, 5.6364000e-01
1.6439972e+00, 7.6859999e-01, 7.1491998e-01
1.6480026e+00, 6.9783998e-01, 6.0145998e-01
1.6520004e+00, 5.9535998e-01, 6.8320000e-01
1.6559982e+00, 5.3557998e-01, 6.6001999e-01
1.6600037e+00, 1.9764000e-01, 7.1613997e-01
1.6640015e+00, 3.6600001e-02, 3.8064000e-01
1.6679993e+00,-2.9279999e-02, 2.2814000e-01
1.6719971e+00,-1.5981999e-01, 1.1468000e-01
1.6760025e+00,-2.9890001e-01,-7.3199999e-03
1.6800003e+00,-4.9531999e-01,-1.9275999e-01
1.6839981e+00,-4.9166000e-01,-2.5619999e-01
1.6880035e+00,-6.7465997e-01,-5.3924000e-01
1.6920013e+00,-5.8437997e-01,-4.8311999e-01
1.6959991e+00,-7.7348000e-01,-6.4293998e-01
1.6999969e+00,-6.8930000e-01,-6.4293998e-01
1.7040024e+00,-5.3192002e-01,-7.2223997e-01
1.7080002e+00,-1.4884000e-01,-7.0028001e-01
1.7119980e+00, 2.7693999e-01,-4.9897999e-01
1.7160034e+00, 5.0996000e-01,-2.3911999e-01
1.7200012e+00, 7.6616001e-01, 2.1227999e-01
1.7239990e+00, 9.7355998e-01, 5.7462001e-01
1.7279968e+00, 6.1122000e-01, 6.8198001e-01
1.7320023e+00, 5.5875999e-01, 7.2468001e-01
1.7360001e+00, 6.6001999e-01, 8.1373996e-01
1.7399979e+00, 3.7941998e-01, 7.0393997e-01
1.7440033e+00, 2.2814000e-01, 6.7831999e-01
1.7480011e+00, 5.7340000e-02, 4.2089999e-01
1.7519989e+00, 3.1719998e-02, 2.1472000e-01
1.7559967e+00,-2.1716000e-01, 1.0492000e-01
1.7600021e+00,-2.0007999e-01, 2.0739999e-02
1.7639999e+00,-4.3798000e-01,-1.4640000e-01
1.7679977e+00,-5.2094001e-01,-2.1227999e-01
1.7720032e+00,-5.5632001e-01,-3.8064000e-01
1.7760010e+00,-5.6485999e-01,-6.0023999e-01
1.7799988e+00,-8.1007999e-01,-6.8320000e-01
1.7839966e+00,-6.5880001e-01,-6.4293998e-01
1.7880020e+00,-6.2097996e-01,-6.3195997e-01
1.7919998e+00,-3.6965999e-01,-7.1613997e-01
1.7959976e+00, 6.8319999e-02,-7.3199999e-01
1.8000031e+00, 4.9897999e-01,-2.9890001e-01
1.8040009e+00, 7.1370000e-01, 1.7568000e-01
1.8079987e+00, 7.5151998e-01, 5.0264001e-01
1.8119965e+00, 6.6123998e-01, 7.8568000e-01
1.8160019e+00, 7.3565996e-01, 7.8568000e-01
1.8199997e+00, 6.7343998e-01, 8.1007999e-01
1.8239975e+00, 4.0259999e-01, 5.9170002e-01
1.8280029e+00, 1.6958000e-01, 5.0386000e-01
1.8320007e+00, 1.5860000e-01, 4.2089999e-01
1.8359985e+00, 9.2720002e-02, 4.6969998e-01
1.8399963e+00,-1.7812000e-01, 1.9885999e-01
1.8440018e+00,-3.2817999e-01,-1.2200000e-03
1.8479996e+00,-4.2455998e-01,-1.3786000e-01
1.8519974e+00,-5.8682001e-01,-1.8422000e-01
1.8560028e+00,-6.4172000e-01,-5.3192002e-01
1.8600006e+00,-6.3927996e-01,-7.0760000e-01
1.8639984e+00,-6.6490000e-01,-5.7827997e-01
1.8679962e+00,-6.8198001e-01,-6.3927996e-01
1.8720016e+00,-5.6729996e-01,-7.4053997e-01
1.8759995e+00,-3.9161998e-01,-7.0393997e-01
1.8799973e+00, 1.3786000e-01,-7.1003997e-01
1.8840027e+00, 4.6482000e-01,-3.3916000e-01
1.8880005e+00, 6.1000001e-01, 1.2809999e-01
1.8919983e+00, 7.4298000e-01, 3.3916000e-01
1.8960037e+00, 6.6978002e-01, 5.1484001e-01
1.9000015e+00, 6.8320000e-01, 6.5025997e-01
1.9039993e+00, 5.1239997e-01, 7.3809999e-01
1.9079971e+00, 4.9410000e-01, 9.7843999e-01
1.9120026e+00, 3.3183998e-01, 5.6974000e-01
1.9160004e+00, 1.2687999e-01, 4.2089999e-01
1.9199982e+00, 8.9060001e-02, 3.4281999e-01
