time,probe_a,probe_b
8.9000000e-01, 1.6444302e-01, 1.5498638e-01
8.9200000e-01, 1.7275810e-01, 1.5314484e-01
8.9400000e-01, 1.9031048e-01, 1.5345192e-01
8.9600000e-01, 2.0293713e-01, 1.5621376e-01
8.9800000e-01, 2.2079849e-01, 1.5805531e-01
9.0000000e-01, 2.3927498e-01, 1.6112423e-01
9.0200000e-01, 2.6113987e-01, 1.7002583e-01
9.0400000e-01, 2.8762245e-01, 1.7892551e-01
9.0600000e-01, 3.0240440e-01, 1.8322277e-01
9.0800000e-01, 3.3381557e-01, 2.0838833e-01
9.1000000e-01, 3.5999012e-01, 2.2373295e-01
9.1200000e-01, 3.8277817e-01, 2.3600960e-01
9.1400000e-01, 4.0525913e-01, 2.5380993e-01
9.1600000e-01, 4.3051052e-01, 2.7222443e-01
9.1800000e-01, 4.6376896e-01, 2.9585648e-01
9.2000000e-01, 4.8224640e-01, 3.1304264e-01
9.2200000e-01, 5.1612091e-01, 3.3360481e-01
9.2400000e-01, 5.3151798e-01, 3.5386086e-01
9.2600000e-01, 5.5984879e-01, 3.8056183e-01
9.2800000e-01, 5.7185936e-01, 3.9130306e-01
9.3000000e-01, 5.9033585e-01, 4.1493416e-01
9.3200000e-01, 6.0788918e-01, 4.3703270e-01
9.3400000e-01, 6.1928272e-01, 4.5360470e-01
9.3600000e-01, 6.4237976e-01, 4.8429585e-01
9.3800000e-01, 6.3837624e-01, 4.9074078e-01
9.4000000e-01, 6.4976978e-01, 5.1345158e-01
9.4200000e-01, 6.4176369e-01, 5.1989651e-01
9.4400000e-01, 6.4576721e-01, 5.4260826e-01
9.4600000e-01, 6.4391899e-01, 5.5519104e-01
9.4800000e-01, 6.3314056e-01, 5.6194210e-01
9.5000000e-01, 6.2698174e-01, 5.7329750e-01
9.5200000e-01, 6.2698174e-01, 5.8618736e-01
9.5400000e-01, 6.2205410e-01, 5.8895016e-01
9.5600000e-01, 6.1866665e-01, 6.0030460e-01
9.5800000e-01, 5.8818054e-01, 5.8680153e-01
9.6000000e-01, 6.0450172e-01, 6.2363052e-01
